"","Species","shape","scale","location","adjust"
"1","ABBA",1.73375858849107,4.5691309141777,0,5.4192048977793
"2","ACRU",1.30579152297462,6.903501749585,0,9.27212401761836
"3","ACSA3",2.68493221619339,6.58202524556253,0,5.90342505335147
"4","ACSP2",1.68284947069599,4.23001642771682,0,5.01681723586623
"5","BEAL2",2.54657812047996,4.16117797159106,0,3.27525690151978
"6","BEPA",0.984698108835269,3.69254475104676,0,3.99712213892901
"7","FRNI",1.44054490657337,3.80641540547816,0,4.89928188842669
"8","LALA",0.738675683010091,1.46047839801531,0,1.97105370682046
"9","PIBA2",0.315649817687024,0.497829905189395,0,3.16300451959721
"10","PIGL",1.24055513949504,6.13005708838097,0,7.42679186635275
"11","PIMA",0.972924551364058,2.19118949706459,0,2.54954139158893
"12","PIRE",1.01471254784075,2.51171053897921,0,2.96138689382039
"13","PIST",1,29.4216209871401,0,20
"14","POBA2",0.543708302399929,596.009355956846,0,20
"15","POGR4",1.08365998813882,9.76247137958646,0,1.07342063031368
"16","POTR5",0.937811882956343,4.46245218714796,0,4.44997640912045
"17","PRVI",1.22918564921504,5.19168686685151,0,6.69484279837302
"18","QURU",1.45752725525737,5.6658272780851,0,7.01319072530273
"19","THOC2",1.82182533896727,3.52086235298075,0,3.97325618364597
